"id","geom"
451,POINT (316623.2703830557 4043010.1370393583)
452,POINT (438185.19547742896 4123672.6952103963)
453,POINT (208045.55394869446 4060667.9283783347)
454,POINT (393679.09368962626 4213937.047055998)
455,POINT (547686.1794595749 4082258.014885957)
456,POINT (598688.5819991851 4123562.389783421)
457,POINT (236835.2263443183 4152274.7490140116)
458,POINT (453534.5406427895 4211535.672092883)
459,POINT (378599.61527493095 4065524.72715524)
460,POINT (547260.8021871421 4085349.542305215)
461,POINT (382759.87574654416 4182805.1320730485)
462,POINT (442709.3466170902 4214436.674887965)
463,POINT (299421.6740748375 4159657.2126318533)
464,POINT (362402.43056219816 4060388.541941248)
465,POINT (280400.95286426786 4112296.751593506)
466,POINT (160620.3767219006 4134664.9332499276)
467,POINT (209504.31599111008 4188477.2676752876)
468,POINT (503850.94233404245 4157018.0433102665)
469,POINT (130198.3969961926 4138310.8618994285)
470,POINT (303102.930761913 4240015.607618141)
471,POINT (430998.9600758713 4180842.3063730258)
472,POINT (208915.54644402093 4069308.015247961)
473,POINT (363677.336062377 4218257.081661392)
474,POINT (414743.6130462508 4231202.482977561)
475,POINT (225354.13356402508 4125126.701541833)
476,POINT (599241.1266363793 4124602.7647717963)
477,POINT (446393.47998152836 4217808.912902787)
478,POINT (125420.7598539858 4164902.8524134806)
479,POINT (596079.755700971 4119588.170070813)
480,POINT (232459.80651166983 4174554.8781440137)
481,POINT (360578.81895739835 4065104.5123589803)
482,POINT (568294.1295769884 4100747.7184801004)
483,POINT (358832.511813116 4058651.4385527703)
484,POINT (213027.34494507365 4057602.1899712253)
485,POINT (332378.54203094495 4117838.6389943077)
486,POINT (226196.4349287433 4136057.7833089153)
487,POINT (204907.96849439587 4063407.0673186528)
488,POINT (241213.20436522036 4158073.1409520735)
489,POINT (345519.2989830013 4076215.061246769)
490,POINT (123239.11147027915 4143160.086592161)
491,POINT (145796.40709980763 4134825.2184499255)
492,POINT (333573.72269150807 4043389.5794680933)
493,POINT (149056.40752985133 4139760.0455017383)
494,POINT (361240.1541300614 4068658.427684277)
495,POINT (248491.75623436365 4159930.0310079847)
496,POINT (359575.77347457205 4199491.125118772)
497,POINT (613709.1791256968 4143821.8412047825)
498,POINT (124765.82459492525 4130639.5851255623)
499,POINT (335767.4473962506 4084766.357321959)
500,POINT (608296.6813637924 4132657.716253056)
501,POINT (513272.4239278061 4071658.5547340983)
502,POINT (390644.5482277793 4211486.428179575)
503,POINT (359528.2411907423 4202127.060482554)
504,POINT (280685.0667575208 4012480.9230249)
505,POINT (308603.9955147766 4161317.616788458)
506,POINT (151828.6745993122 4123053.6467908532)
507,POINT (284657.8376001016 4083654.8116525416)
508,POINT (342718.9675654787 4247541.254273973)
509,POINT (295285.0585830248 4031969.379989064)
510,POINT (214291.80874249226 4041641.166111687)
511,POINT (396312.5524203114 4112831.132027003)
512,POINT (388717.75195483305 4204266.274792301)
513,POINT (276137.0054833388 4014454.9170394186)
514,POINT (567433.7919596941 4098382.8255365426)
515,POINT (346124.8936938612 4192929.3124936027)
516,POINT (163505.1370201427 4131069.364058634)
517,POINT (185313.12002154608 4119006.301756231)
518,POINT (381151.0490573821 4245832.916762268)
519,POINT (442261.92717134976 4122716.388680924)
520,POINT (449989.1259134591 4070216.654395458)
521,POINT (316015.55212056584 4092254.433306574)
522,POINT (236449.09358798873 4148528.5355034536)
523,POINT (444057.7127969797 4131085.0697474126)
