"id","geom","fid"
547,POINT (125079.6896441903 4131533.4956861935),548
548,POINT (413849.21752033156 4175938.9004505198),549
549,POINT (494727.581843068 4228363.115777428),550
550,POINT (189317.30184408912 4126898.361184177),551
551,POINT (392388.79910593893 4177700.952211738),552
552,POINT (236293.6825069917 3977551.39614125),553
553,POINT (546129.277091307 4135650.295851419),554
554,POINT (234424.31992426573 4137439.977708781),555
555,POINT (561855.841327567 4079445.386230913),556
556,POINT (351231.61947977653 4198218.473357618),557
557,POINT (352149.1414534706 4087226.0019152057),558
558,POINT (185069.17262516063 4126628.5440439726),559
559,POINT (344132.54290275695 4202346.24732285),560
560,POINT (179237.93838237828 4126051.3382829926),561
561,POINT (449808.19866918895 4085239.0821521054),562
562,POINT (588062.8577504321 4134986.56664059),563
563,POINT (244745.13398910858 4066338.6384391245),564
564,POINT (364707.7145422146 4144365.983016248),565
565,POINT (130030.48465419168 4101731.9977944973),566
566,POINT (578940.6583373698 4139909.6699347366),567
567,POINT (451518.7636957069 4065189.3311952776),568
568,POINT (452724.58804622066 4075982.4008346116),569
569,POINT (320411.45705580927 4216597.1765324185),570
570,POINT (418440.71740327065 4155391.2244559363),571
